Version 2.0
Stress Data Type: NODE 
Solid Hex 1
Vertices: 17260
4.134340e+00 -5.894350e+00 4.590090e+01
6.688950e+00 -1.134050e+00 4.577600e+01
2.486890e+00 1.398400e+00 4.705550e+01
-4.817090e-01 -3.015780e+00 4.732220e+01
5.411360e+00 -6.208740e+00 5.235480e+01
7.667490e+00 -1.747710e+00 5.275170e+01
3.958950e+00 5.884110e-01 5.372380e+01
6.772460e-01 -3.423030e+00 5.367840e+01
6.403600e+00 -6.527530e+00 5.669550e+01
8.423140e+00 -2.131340e+00 5.640850e+01
4.030240e+00 6.440400e-01 5.789760e+01
1.228620e+00 -3.003950e+00 5.841960e+01
8.071150e+00 -7.177860e+00 6.283360e+01
1.068730e+01 -2.632730e+00 6.290050e+01
5.614960e+00 4.851050e-01 6.402270e+01
2.823860e+00 -3.689040e+00 6.396420e+01
-1.046350e+00 -1.364900e+01 4.626300e+01
2.021800e+00 -9.305730e+00 4.602620e+01
-2.631930e+00 -6.340420e+00 4.753370e+01
-5.298690e+00 -1.091100e+01 4.759270e+01
7.613430e-02 -1.378610e+01 5.312470e+01
3.077140e+00 -9.861180e+00 5.244010e+01
-1.617150e+00 -6.971510e+00 5.393120e+01
-3.652020e+00 -1.146180e+01 5.428050e+01
7.846670e-01 -1.408270e+01 5.660860e+01
4.006920e+00 -1.019880e+01 5.668410e+01
-9.343790e-01 -7.177110e+00 5.795570e+01
-3.007060e+00 -1.177130e+01 5.766150e+01
2.543240e+00 -1.501100e+01 6.317420e+01
5.684380e+00 -1.063800e+01 6.281330e+01
7.891560e-01 -7.578310e+00 6.416610e+01
-1.743460e+00 -1.234070e+01 6.437060e+01
-2.157680e+00 -3.117160e-01 5.956820e+01
6.445700e-01 3.291420e+00 5.939470e+01
-4.307280e+00 6.478720e+00 6.065520e+01
-6.853280e+00 3.018270e+00 6.082740e+01
-3.854920e-01 -9.962900e-01 6.514450e+01
2.217650e+00 2.613660e+00 6.488120e+01
-2.789500e+00 5.837450e+00 6.648050e+01
-5.277740e+00 2.366150e+00 6.673260e+01
1.006700e+01 -1.530900e+01 1.365250e+01
8.315700e+00 -1.750020e+01 1.382620e+01
6.527650e+00 -1.922430e+01 1.439050e+01
1.336110e+01 -1.368440e+00 1.511900e+00
1.214780e+01 -1.080610e+01 1.410620e+01
1.132480e+01 -1.295480e+01 1.378050e+01
2.176340e+00 -1.303240e+00 6.183990e-01
3.521600e+00 9.827070e-01 3.684470e-01
1.231290e+00 2.807970e+00 1.194250e+00
-2.904780e-01 5.630460e-01 1.314070e+00
3.005170e+00 -1.525400e+00 3.698840e+00
4.289780e+00 6.802260e-01 3.597340e+00
2.251380e+00 2.386710e+00 4.190010e+00
6.934690e-01 1.540170e-01 4.222220e+00
-7.146310e-01 -5.807680e+00 1.034900e+00
9.780140e-01 -3.136200e+00 9.027920e-01
-1.632890e+00 -1.543330e+00 1.559280e+00
-3.203260e+00 -4.025380e+00 1.686870e+00
1.075340e-01 -6.077350e+00 4.008330e+00
1.671950e+00 -3.571320e+00 3.856800e+00
-7.636860e-01 -2.069990e+00 4.356060e+00
-2.253360e+00 -4.406820e+00 4.494820e+00
2.620580e+00 7.659500e+00 3.222970e+00
2.399080e+00 8.837600e+00 2.463130e+00
1.131110e+00 1.018040e+01 2.808630e+00
-1.481950e+00 7.964740e+00 2.473160e+00
2.244180e+00 7.070050e+00 4.604910e+00
1.884750e+00 8.440830e+00 3.670540e+00
1.163650e+00 9.310850e+00 4.016190e+00
1.253910e+00 8.930840e+00 5.416620e+00
-2.962360e+00 1.695900e+01 8.452190e+00
-4.994510e+00 -2.883760e+00 2.265360e+00
-3.364540e+00 -4.175990e-01 2.179100e+00
-6.093750e+00 1.465000e+00 3.150830e+00
-7.759370e+00 -1.020120e+00 3.230940e+00
-4.500880e+00 -2.937020e+00 5.116540e+00
-2.976030e+00 -5.932680e-01 5.004180e+00
-5.344010e+00 1.033050e+00 5.752880e+00
-6.880980e+00 -1.321510e+00 5.845520e+00
-1.935690e+00 1.754000e+00 2.104060e+00
-1.611360e-01 4.257630e+00 2.043240e+00
